,source,target,value
59,Sirius,Vernon,5
312,Severus,Sybill,6
22,Regulus,Sirius,6
166,Pansy,Zabini,32
171,Nott,Zabini,5
144,Neville,Trevor,12
151,Neville,Zabini,16
243,Neville,Seamus,6
1,Narcissa,Severus,24
4,Narcissa,Yaxley,6
114,Narcissa,Sirius,5
385,Mulciber,Tom,1
62,Molly,Rufus,9
69,Molly,Weasley,18
206,Merope,Morfin,31
209,Merope,Tom,5
405,Merlin,Tom,6
238,Melinda,Zabini,6
214,Marvolo,Morfin,18
215,Marvolo,Merope,9
271,Marvolo,Tom,15
154,Marcus,Neville,4
142,Luna,Neville,34
145,Luna,Trevor,6
115,Lucius,Sirius,6
7,Lucius,Narcissa,9
147,Lily,Neville,6
259,Leanne,Three,1
225,Lavender,Parvati,34
29,Kreacher,Sirius,16
288,Keeper,Vaisey,5
435,Katie,Rosmerta,4
301,Katie,Parvati,10
252,Katie,Leanne,61
327,James,Sirius,6
424,James,Lily,6
156,James,Zabini,6
305,Horace,Sanguini,3
254,Hermione,Leanne,37
251,Hermione,Mundungus,5
248,Hermione,Zabini,6
231,Hermione,Parvati,27
173,Hermione,Pansy,1
277,Hermione,Neville,23
221,Hermione,Patil,11
198,Hermione,Nott,6
181,Hermione,Seamus,19
295,Hermione,Lavender,61
298,Hermione,Luna,12
472,Hermione,Percy,6
255,Hermione,Katie,52
390,Hermione,Marietta,5
389,Hermione,Kreacher,18
86,Hermione,Sirius,11
396,Hermione,Montgomery,10
343,Hermione,Rufus,4
341,Hermione,Violet,5
380,Hepzibah,Tom,31
217,Hedwig,Pigwidgeon,4
393,Healer,Hermione,6
470,Harry,Leaky,6
400,Harry,Rupert,11
401,Harry,Odo,7
41,Harry,Horace,62
218,Harry,Pigwidgeon,5
450,Harry,Minerva,8
398,Harry,Merlin,10
213,Harry,Marvolo,15
397,Harry,Pomona,5
205,Harry,Merope,77
60,Harry,Molly,21
226,Harry,Lavender,178
402,Harry,Nick,18
20,Harry,Sirius,150
431,Harry,Mark,17
253,Harry,Leanne,35
429,Harry,Rosmerta,3
423,Harry,Jimmy,10
12,Harry,Hedwig,42
249,Harry,Mundungus,62
420,Harry,Michael,6
15,Harry,Petunia,8
17,Harry,Vernon,23
419,Harry,Hungarian,8
240,Harry,Severus,72
228,Harry,Katie,99
239,Harry,Melinda,1
23,Harry,Regulus,4
415,Harry,Montague,5
28,Harry,Kreacher,173
264,Harry,Phineas,8
267,Harry,Martha,4
36,Harry,Rufus,54
407,Harry,Nagini,8
202,Harry,Humphrey,11
203,Harry,Morfin,67
92,Harry,Percy,51
360,Harry,Ralph,11
304,Harry,Sanguini,26
355,Harry,Peeves,40
311,Harry,Sybill,22
155,Harry,James,32
110,Harry,Tom,64
153,Harry,Marcus,6
152,Harry,Zabini,166
112,Harry,Mother,5
150,Harry,Marietta,14
116,Harry,Lucius,5
148,Harry,Lily,8
461,Harry,Patil,3
146,Harry,Trevor,1
143,Harry,Luna,175
342,Harry,Violet,3
141,Harry,Neville,288
335,Harry,Remus,12
73,Harry,Hermione,2145
293,Harry,Vaisey,5
391,Harry,Myrtle,23
193,Harry,Parvati,42
195,Harry,Seamus,53
197,Harry,Nott,6
292,Harry,Zacharias,29
297,Harry,Romilda,11
379,Harry,Hepzibah,35
61,Harry,Nymphadora,19
287,Harper,Harry,41
222,Hannah,Harry,4
188,Hall,Harry,21
157,Gwenog,Harry,6
308,Grawp,Luna,3
256,Grawp,Katie,3
216,Grawp,Hermione,12
471,Grawp,Percy,6
189,Grawp,Harry,39
175,Goyle,Pansy,5
161,Goyle,Zabini,30
162,Goyle,Harry,46
174,Goyle,Hermione,22
454,Gibbon,Harry,13
453,Gibbon,Neville,12
97,George,Hermione,25
318,George,Remus,11
91,George,Percy,1
90,George,Harry,109
317,George,Ronald,6
468,George,Tom,5
346,George,Seamus,1
125,George,Verity,6
75,Gabrielle,Harry,10
119,Fred,Hermione,28
452,Fred,Neville,2
316,Fred,Ronald,5
70,Fred,George,217
89,Fred,Harry,120
340,Fred,Percy,6
76,Fleur,Harry,116
336,Fleur,Remus,4
321,Fleur,Fred,12
94,Fleur,George,12
85,Fleur,Hermione,13
192,Firenze,Parvati,3
191,Firenze,Neville,4
309,Firenze,Harry,37
310,Firenze,Luna,6
448,Filius,Harry,5
449,Filius,Minerva,5
439,Fenrir,Harry,29
200,Felix,Harry,19
395,Felix,Hermione,4
201,Fawkes,Harry,41
350,Fawkes,Phineas,6
358,Fat,Lavender,6
359,Fat,Harry,5
235,Fang,Hermione,1
234,Fang,Harry,15
458,Everard,Minerva,5
13,Dursley,Harry,14
18,Dudley,Harry,36
25,Dudley,Kreacher,6
19,Dudley,Petunia,6
34,Dudley,Vernon,5
113,Draco,Harry,69
440,Draco,Fenrir,5
11,Draco,Narcissa,40
8,Draco,Severus,38
10,Draco,Lucius,9
374,Dobby,Harry,78
388,Dobby,Hermione,5
373,Dobby,Kreacher,116
229,Demelza,Katie,6
230,Demelza,Harry,51
372,Demelza,Luna,5
232,Demelza,Hermione,6
179,Dean,Neville,18
413,Dean,Katie,4
283,Dean,Demelza,11
180,Dean,Seamus,76
194,Dean,Hermione,50
140,Dean,Harry,223
421,Dean,Michael,6
422,Dean,Lavender,3
134,Crookshanks,Hedwig,6
63,Crookshanks,Harry,3
176,Crabbe,Goyle,6
357,Crabbe,Neville,6
165,Crabbe,Zabini,10
164,Crabbe,Harry,14
37,Cornelius,Harry,11
38,Cornelius,Rufus,4
302,Cormac,Parvati,7
307,Cormac,Harry,5
306,Cormac,Hermione,5
276,Cole,Merope,1
272,Cole,Marvolo,5
269,Cole,Tom,9
268,Cole,Martha,2
266,Cole,Harry,32
387,Cho,Lavender,6
279,Cho,Hermione,6
278,Cho,Harry,17
345,Charlie,Fred,6
105,Charlie,Harry,11
320,Charlie,George,10
330,Celestina,Draco,5
324,Celestina,Fred,5
323,Celestina,Fleur,22
325,Celestina,Harry,16
210,Cecilia,Morfin,2
371,Cadwallader,Harry,17
32,Buckbeak,Sirius,11
31,Buckbeak,Harry,37
233,Buckbeak,Hermione,6
465,British,Hermione,5
257,Borgin,Katie,10
432,Borgin,Montague,5
127,Borgin,Harry,180
376,Borgin,Hokey,5
383,Borgin,Hepzibah,4
128,Borgin,Hermione,48
170,Blaise,Zabini,5
169,Blaise,Pansy,5
250,Black,Mundungus,10
49,Black,Harry,4
275,Billy,Cole,5
274,Billy,Tom,3
285,Bill,Dean,1
455,Bill,Neville,6
451,Bill,Nymphadora,6
319,Bill,George,16
464,Bill,British,6
83,Bill,Fleur,105
84,Bill,Harry,53
80,Bill,Hermione,2
130,Bill,Gabrielle,6
93,Bill,Fred,6
101,Bill,Remus,18
102,Bill,Florean,3
418,Bertram,Harry,3
88,Bellatrix,Sirius,6
87,Bellatrix,Harry,4
27,Bellatrix,Kreacher,12
9,Bellatrix,Draco,10
6,Bellatrix,Lucius,5
5,Bellatrix,Narcissa,17
2,Bellatrix,Severus,9
24,Bellatrix,Vernon,3
0,Bella,Narcissa,36
3,Avery,Yaxley,6
403,Avery,Tom,3
349,Avery,Harry,4
190,Augusta,Neville,10
132,Arthur,Fleur,9
329,Arthur,Severus,5
411,Arthur,Lucius,3
68,Arthur,Harry,32
109,Arthur,Molly,6
328,Arthur,Sirius,5
447,Arthur,Bill,15
242,Arnold,Hermione,1
241,Arnold,Harry,6
135,Arnold,Hedwig,6
136,Arnold,Fleur,5
377,Armando,Harry,5
313,Argus,Draco,4
236,Aragog,Hermione,20
237,Aragog,Harry,117
399,Aragog,Horace,6
118,Apothecary,Fred,6
443,Amycus,Harry,20
442,Amycus,Severus,5
437,Amycus,Draco,11
445,Alecto,Neville,4
444,Alecto,Harry,6
438,Alecto,Amycus,5
46,Albus,Horace,3
43,Albus,Harry,40
428,Albus,Rosmerta,6